Date,total_pnl,avg_pnl_per_trade,trade_count,pnl_volatility,total_volume,avg_trade_size,active_traders,buy_ratio,win_rate,profit_factor,classification,value,sentiment_score
8/14/2024,2168.9015,86.7561,25,329.119,66710.03,2668.4012,3,0,0.2,3.251237483,Fear,30,2
8/15/2024,0,0,12,0,1522.37,126.8642,1,0,0,0,Fear,29,2
8/16/2024,825.2305,23.578,35,80.1374,166382.84,4753.7954,2,0,0.085714286,0.495982939,Fear,27,2
8/17/2024,-288.2831,-9.6094,30,52.6331,30248.96,1008.2987,2,0,0,-0.953034749,Fear,25,2
8/18/2024,307.2019,20.4801,15,30.9139,62804.48,4186.9653,2,0,0.8,0.489140106,Fear,31,2
8/19/2024,339.6996,42.4624,8,67.504,100315.03,12539.3788,1,0,0.625,0.338632805,Fear,28,2
8/20/2024,192.6028,16.0502,12,55.5997,49914.8,4159.5667,2,0,0.083333333,0.385863111,Fear,30,2
8/21/2024,656.2009,4.5255,145,16.5145,104990.41,724.0718,2,0,0.372413793,0.625010322,Fear,26,2
8/23/2024,1005.3053,100.5305,10,280.4842,63509.56,6350.956,1,0,0.3,1.582919642,Fear,34,2
8/24/2024,0,0,7,0,34999.67,4999.9529,2,0,0,0,Greed,56,4
8/25/2024,0,0,17,0,21950.28,1291.1929,2,0,0,0,Neutral,54,3
8/26/2024,231.2369,38.5395,6,60.2253,92611.27,15435.2117,2,0,0.333333333,0.249685486,Greed,55,4
8/27/2024,0,0,50,0,70250.16,1405.0032,2,0,0,0,Neutral,48,3
8/28/2024,1333.3596,148.1511,9,294.0059,71160.07,7906.6744,2,0,0.222222222,1.873746892,Fear,30,2
8/29/2024,0,0,1,,9995.85,9995.85,1,0,0,0,Fear,29,2
8/30/2024,256.464,42.744,6,104.701,37233.24,6205.54,4,0,0.166666667,0.688803875,Fear,34,2
8/31/2024,10.8828,0.3201,34,0.8924,107507.43,3161.9832,3,0,0.352941176,0.010122835,Fear,29,2
9/1/2024,137.4331,11.4528,12,25.4796,12359.68,1029.9733,1,0,0.416666667,1.111947073,Fear,26,2
9/2/2024,0,0,2,0,30000.42,15000.21,1,0,0,0,Fear,26,2
9/4/2024,1065.7851,31.3466,34,462.166,131480.97,3867.0874,2,0,0.147058824,0.810600272,Fear,27,2
9/5/2024,0,0,1,,0.84,0.84,1,0,0,0,Fear,29,2
9/6/2024,-1104.8568,-26.3061,42,21.9109,39047.1,929.6929,2,0,0,-2.829548929,Extreme Fear,22,1
9/8/2024,0,0,1,,0.11,0.11,1,0,0,0,Fear,29,2
9/9/2024,0,0,2,0,4014.43,2007.215,1,0,0,0,Fear,26,2
9/10/2024,-219.7297,-73.2432,3,96.0807,2547.28,849.0933,2,0,0,-8.626052103,Fear,33,2
9/11/2024,0,0,1,,0.54,0.54,1,0,0,0,Fear,37,2
9/14/2024,0,0,11,0,1014.8,92.2545,2,0,0,0,Neutral,50,3
9/18/2024,-878.6848,-6.0599,145,4.9661,13633.5,94.0241,1,0,0,-6.445041992,Neutral,45,3
9/19/2024,0,0,19,0,1521.87,80.0984,1,0,0,0,Neutral,49,3
9/20/2024,9585.0343,599.0646,16,2004.9516,332873.38,20804.5862,2,0,0.5,2.879483574,Neutral,54,3
9/21/2024,36165.5693,1572.4161,23,1429.8115,165648.12,7202.0922,1,0,1,21.83276774,Neutral,54,3
9/22/2024,0,0,3,0,19999.74,6666.58,1,0,0,0,Neutral,52,3
9/23/2024,334.7608,167.3804,2,236.7116,40334.29,20167.145,1,0,0.5,0.829965769,Neutral,50,3
9/24/2024,0,0,10,0,7118.63,711.863,2,0,0,0,Neutral,54,3
9/25/2024,0,0,9,0,52754.13,5861.57,2,0,0,0,Greed,59,4
9/26/2024,439.8125,54.9766,8,154.2027,113711.93,14213.9912,2,0,0.25,0.386777799,Neutral,50,3
9/27/2024,0,0,56,0,126097.04,2251.7329,2,0,0,0,Greed,61,4
9/28/2024,0,0,4,0,29199.21,7299.8025,1,0,0,0,Greed,64,4
9/30/2024,2710.6263,25.5719,106,133.6657,214669.85,2025.1873,2,0,0.047169811,1.26269539,Greed,61,4
10/1/2024,0,0,4,0,139954.32,34988.58,1,0,0,0,Neutral,50,3
10/2/2024,0,0,4,0,99954.34,24988.585,1,0,0,0,Fear,42,2
10/3/2024,100.3758,11.1529,9,20.2736,132935.69,14770.6322,2,0,0.333333333,0.075507037,Fear,37,2
10/4/2024,0,0,1,,0.34,0.34,1,0,0,0,Fear,41,2
10/5/2024,5767.1619,155.8692,37,217.088,605605.74,16367.7227,2,0,0.648648649,0.95229644,Neutral,49,3
10/6/2024,130.4871,5.9312,22,17.7411,300130.56,13642.2982,1,0,0.227272727,0.043476779,Neutral,50,3
10/7/2024,0,0,21,0,219984.65,10475.4595,1,0,0,0,Neutral,50,3
10/8/2024,5396.5466,149.9041,36,223.4075,434584.13,12071.7814,2,0,0.916666667,1.241772588,Neutral,49,3
10/9/2024,396.0627,28.2902,14,61.543,220399.93,15742.8521,1,0,0.214285714,0.179701827,Neutral,49,3
10/10/2024,0,0,16,0,300024.34,18751.5212,1,0,0,0,Fear,39,2
10/11/2024,8885.3275,341.7434,26,367.9831,488904.19,18804.0073,2,0,0.692307692,1.817396472,Fear,32,2
10/12/2024,541.5547,54.1555,10,63.3742,159713.4,15971.34,1,0,0.7,0.339079063,Neutral,49,3
10/13/2024,0,0,10,0,60002.42,6000.242,1,0,0,0,Neutral,50,3
10/14/2024,1913.6196,382.7239,5,497.2721,61916.02,12383.204,1,0,1,3.090669588,Neutral,48,3
